央视频道,#genre#
CCTV14,http://60.223.72.165:8002/rtp/226.0.2.31:8160
CCTV15,http://60.223.72.165:8002/rtp/226.0.2.32:8168
CCTV17,http://60.223.72.165:8002/rtp/226.0.2.207:9568
CCTV1,http://125.38.180.207:4022/udp/225.1.1.120:5002
CCTV2,http://125.38.180.207:4022/udp/225.1.1.133:5002
CCTV3,http://125.38.180.207:4022/udp/225.1.1.158:5002
CCTV4,http://125.38.180.207:4022/udp/225.1.1.150:5002
CCTV5,http://125.38.180.207:4022/udp/225.1.1.160:5002
CCTV5,http://125.38.180.207:4022/udp/225.1.1.121:5002
CCTV6,http://125.38.180.207:4022/udp/225.1.1.195:5002
CCTV7,http://125.38.180.207:4022/udp/225.1.1.138:5002
CCTV8,http://125.38.180.207:4022/udp/225.1.1.196:5002
CCTV9,http://125.38.180.207:4022/udp/225.1.1.119:5002
CCTV10,http://125.38.180.207:4022/udp/225.1.1.140:5002
CCTV11,http://125.38.180.207:4022/udp/225.1.2.192:5002
CCTV12,http://125.38.180.207:4022/udp/225.1.1.142:5002
CCTV13,http://125.38.180.207:4022/udp/225.1.2.193:5002
CCTV14,http://125.38.180.207:4022/udp/225.1.1.144:5002
CCTV15,http://125.38.180.207:4022/udp/225.1.2.194:5002
CCTV16,http://125.38.180.207:4022/udp/225.1.2.237:5002
CCTV17,http://125.38.180.207:4022/udp/225.1.2.52:5002

电影频道,#genre#
CHC家庭影院,http://219.157.48.211:8090/rtp/225.1.4.209:1262
CHC动作电影,http://219.157.48.211:8090/rtp/225.1.4.208:1261
CHC高清电影,http://219.157.48.211:8090/rtp/225.1.4.207:1260
经典电影,http://219.157.48.211:8090/rtp/225.1.4.175:1233
爱电影,http://219.157.48.211:8090/rtp/225.1.4.6:1035
山西影视HD,http://171.127.250.242:8083/rtp/226.0.2.237:9808
山西影视,http://171.127.250.242:8083/rtp/226.0.2.14:8024
CHC高清电影,http://171.127.250.242:8083/rtp/226.0.2.93:8004
CHC动作电影,http://171.127.250.242:8083/rtp/226.0.2.94:8012
种养新影老故事,http://171.127.250.242:8083/rtp/226.0.2.112:8808
CHC家庭影院,http://171.127.250.242:8083/rtp/226.0.2.240:9820
山西影视HD,http://60.223.72.165:8002/rtp/226.0.2.237:9808
山西影视,http://60.223.72.165:8002/rtp/226.0.2.14:8024
CHC高清电影,http://60.223.72.165:8002/rtp/226.0.2.93:8004
CHC动作电影,http://60.223.72.165:8002/rtp/226.0.2.94:8012
种养新影老故事,http://60.223.72.165:8002/rtp/226.0.2.112:8808
CHC家庭影院,http://60.223.72.165:8002/rtp/226.0.2.240:9820
天津影视,http://125.38.180.207:4022/udp/225.1.1.149:5002
4K影视,http://125.38.180.207:4022/udp/225.1.2.190:5002
CHC动作电影,http://125.38.180.207:4022/udp/225.1.1.215:5002
